pin,slack
JTAG_3/data_length_RNO:A,-902
JTAG_3/data_length_RNO:B,-950
JTAG_3/data_length_RNO:Y,-950
hptdc_tms_2_obuf/U0/U_IOPAD:D,
hptdc_tms_2_obuf/U0/U_IOPAD:E,
hptdc_tms_2_obuf/U0/U_IOPAD:PAD,
JTAG_1/TAP_state[3]:ADn,
JTAG_1/TAP_state[3]:ALn,
JTAG_1/TAP_state[3]:CLK,-2806
JTAG_1/TAP_state[3]:D,-536
JTAG_1/TAP_state[3]:EN,
JTAG_1/TAP_state[3]:LAT,
JTAG_1/TAP_state[3]:Q,-2806
JTAG_1/TAP_state[3]:SD,
JTAG_1/TAP_state[3]:SLn,
hptdc_tdi_2_ibuf/U0/U_IOINFF:A,
hptdc_tdi_2_ibuf/U0/U_IOINFF:Y,
ControlDecoder_3/run_number[4]:ADn,
ControlDecoder_3/run_number[4]:ALn,
ControlDecoder_3/run_number[4]:CLK,749
ControlDecoder_3/run_number[4]:D,1750
ControlDecoder_3/run_number[4]:EN,-1877
ControlDecoder_3/run_number[4]:LAT,
ControlDecoder_3/run_number[4]:Q,749
ControlDecoder_3/run_number[4]:SD,
ControlDecoder_3/run_number[4]:SLn,
ControlDecoder_1/threshold_buffer[11]:ADn,
ControlDecoder_1/threshold_buffer[11]:ALn,
ControlDecoder_1/threshold_buffer[11]:CLK,1750
ControlDecoder_1/threshold_buffer[11]:D,1742
ControlDecoder_1/threshold_buffer[11]:EN,-4122
ControlDecoder_1/threshold_buffer[11]:LAT,
ControlDecoder_1/threshold_buffer[11]:Q,1750
ControlDecoder_1/threshold_buffer[11]:SD,
ControlDecoder_1/threshold_buffer[11]:SLn,-849
ControlDecoder_1/ccu25_data_temp_10_i_m4[0]:A,
ControlDecoder_1/ccu25_data_temp_10_i_m4[0]:B,-448
ControlDecoder_1/ccu25_data_temp_10_i_m4[0]:C,-507
ControlDecoder_1/ccu25_data_temp_10_i_m4[0]:Y,-507
ControlDecoder_0/threshold_buffer[9]:ADn,
ControlDecoder_0/threshold_buffer[9]:ALn,
